Gene stable ID	Gene stable ID version	Gene name	Human gene stable ID	Human gene name
ENSMUSG00000094337	ENSMUSG00000094337.8	AC140325.2	ENSG00000279804	PRAMEF18
ENSMUSG00000094337	ENSMUSG00000094337.8	AC140325.2	ENSG00000182330	PRAMEF8
ENSMUSG00000094337	ENSMUSG00000094337.8	AC140325.2	ENSG00000116721	PRAMEF1
ENSMUSG00000094337	ENSMUSG00000094337.8	AC140325.2	ENSG00000229571	PRAMEF25
ENSMUSG00000094337	ENSMUSG00000094337.8	AC140325.2	ENSG00000120952	PRAMEF2
ENSMUSG00000094337	ENSMUSG00000094337.8	AC140325.2	ENSG00000204510	PRAMEF7
ENSMUSG00000094337	ENSMUSG00000094337.8	AC140325.2	ENSG00000270601	PRAMEF5
ENSMUSG00000094337	ENSMUSG00000094337.8	AC140325.2	ENSG00000243073	PRAMEF4
ENSMUSG00000094337	ENSMUSG00000094337.8	AC140325.2	ENSG00000280267	PRAMEF26
ENSMUSG00000094337	ENSMUSG00000094337.8	AC140325.2	ENSG00000204501	PRAMEF15
ENSMUSG00000094337	ENSMUSG00000094337.8	AC140325.2	ENSG00000204481	PRAMEF14
ENSMUSG00000094337	ENSMUSG00000094337.8	AC140325.2	ENSG00000279169	PRAMEF13
ENSMUSG00000094337	ENSMUSG00000094337.8	AC140325.2	ENSG00000204478	PRAMEF20
ENSMUSG00000094337	ENSMUSG00000094337.8	AC140325.2	ENSG00000187545	PRAMEF10
ENSMUSG00000094337	ENSMUSG00000094337.8	AC140325.2	ENSG00000204505	PRAMEF9
ENSMUSG00000094337	ENSMUSG00000094337.8	AC140325.2	ENSG00000239810	PRAMEF11
ENSMUSG00000095570	ENSMUSG00000095570.2	AC140325.4	ENSG00000274764	PRAMEF27
ENSMUSG00000095570	ENSMUSG00000095570.2	AC140325.4	ENSG00000204479	PRAMEF17
ENSMUSG00000095570	ENSMUSG00000095570.2	AC140325.4	ENSG00000204480	PRAMEF19
ENSMUSG00000095570	ENSMUSG00000095570.2	AC140325.4	ENSG00000237700	PRAMEF33
ENSMUSG00000095570	ENSMUSG00000095570.2	AC140325.4	ENSG00000116726	PRAMEF12
ENSMUSG00000095570	ENSMUSG00000095570.2	AC140325.4	ENSG00000232423	PRAMEF6
ENSMUSG00000095570	ENSMUSG00000095570.2	AC140325.4	ENSG00000279804	PRAMEF18
ENSMUSG00000095570	ENSMUSG00000095570.2	AC140325.4	ENSG00000182330	PRAMEF8
ENSMUSG00000095570	ENSMUSG00000095570.2	AC140325.4	ENSG00000116721	PRAMEF1
ENSMUSG00000095570	ENSMUSG00000095570.2	AC140325.4	ENSG00000229571	PRAMEF25
ENSMUSG00000095570	ENSMUSG00000095570.2	AC140325.4	ENSG00000120952	PRAMEF2
ENSMUSG00000095570	ENSMUSG00000095570.2	AC140325.4	ENSG00000204510	PRAMEF7
ENSMUSG00000095570	ENSMUSG00000095570.2	AC140325.4	ENSG00000270601	PRAMEF5
ENSMUSG00000095570	ENSMUSG00000095570.2	AC140325.4	ENSG00000243073	PRAMEF4
ENSMUSG00000095570	ENSMUSG00000095570.2	AC140325.4	ENSG00000280267	PRAMEF26
ENSMUSG00000095570	ENSMUSG00000095570.2	AC140325.4	ENSG00000204501	PRAMEF15
ENSMUSG00000095570	ENSMUSG00000095570.2	AC140325.4	ENSG00000204481	PRAMEF14
ENSMUSG00000095570	ENSMUSG00000095570.2	AC140325.4	ENSG00000279169	PRAMEF13
ENSMUSG00000095570	ENSMUSG00000095570.2	AC140325.4	ENSG00000204478	PRAMEF20
ENSMUSG00000095570	ENSMUSG00000095570.2	AC140325.4	ENSG00000187545	PRAMEF10
ENSMUSG00000095570	ENSMUSG00000095570.2	AC140325.4	ENSG00000204505	PRAMEF9
ENSMUSG00000095570	ENSMUSG00000095570.2	AC140325.4	ENSG00000239810	PRAMEF11
ENSMUSG00000096728	ENSMUSG00000096728.2	AC140325.5	ENSG00000274764	PRAMEF27
ENSMUSG00000096728	ENSMUSG00000096728.2	AC140325.5	ENSG00000204479	PRAMEF17
ENSMUSG00000096728	ENSMUSG00000096728.2	AC140325.5	ENSG00000204480	PRAMEF19
ENSMUSG00000096728	ENSMUSG00000096728.2	AC140325.5	ENSG00000237700	PRAMEF33
ENSMUSG00000096728	ENSMUSG00000096728.2	AC140325.5	ENSG00000116726	PRAMEF12
ENSMUSG00000096728	ENSMUSG00000096728.2	AC140325.5	ENSG00000232423	PRAMEF6
ENSMUSG00000096728	ENSMUSG00000096728.2	AC140325.5	ENSG00000279804	PRAMEF18
ENSMUSG00000096728	ENSMUSG00000096728.2	AC140325.5	ENSG00000182330	PRAMEF8
ENSMUSG00000096728	ENSMUSG00000096728.2	AC140325.5	ENSG00000116721	PRAMEF1
ENSMUSG00000096728	ENSMUSG00000096728.2	AC140325.5	ENSG00000229571	PRAMEF25
ENSMUSG00000096728	ENSMUSG00000096728.2	AC140325.5	ENSG00000120952	PRAMEF2
ENSMUSG00000096728	ENSMUSG00000096728.2	AC140325.5	ENSG00000204510	PRAMEF7
ENSMUSG00000096728	ENSMUSG00000096728.2	AC140325.5	ENSG00000270601	PRAMEF5
ENSMUSG00000096728	ENSMUSG00000096728.2	AC140325.5	ENSG00000243073	PRAMEF4
ENSMUSG00000096728	ENSMUSG00000096728.2	AC140325.5	ENSG00000280267	PRAMEF26
ENSMUSG00000096728	ENSMUSG00000096728.2	AC140325.5	ENSG00000204501	PRAMEF15
ENSMUSG00000096728	ENSMUSG00000096728.2	AC140325.5	ENSG00000204481	PRAMEF14
ENSMUSG00000096728	ENSMUSG00000096728.2	AC140325.5	ENSG00000279169	PRAMEF13
ENSMUSG00000096728	ENSMUSG00000096728.2	AC140325.5	ENSG00000204478	PRAMEF20
ENSMUSG00000096728	ENSMUSG00000096728.2	AC140325.5	ENSG00000187545	PRAMEF10
ENSMUSG00000096728	ENSMUSG00000096728.2	AC140325.5	ENSG00000204505	PRAMEF9
ENSMUSG00000096728	ENSMUSG00000096728.2	AC140325.5	ENSG00000239810	PRAMEF11
ENSMUSG00000095092	ENSMUSG00000095092.2	AC125149.5	ENSG00000135899	SP110
ENSMUSG00000094874	ENSMUSG00000094874.2	AC132444.3	ENSG00000135899	SP110
ENSMUSG00000094799	ENSMUSG00000094799.2	AC125149.4	ENSG00000135899	SP110
ENSMUSG00000094836	ENSMUSG00000094836.2	AC123873.3	ENSG00000274764	PRAMEF27
ENSMUSG00000094836	ENSMUSG00000094836.2	AC123873.3	ENSG00000204479	PRAMEF17
ENSMUSG00000094836	ENSMUSG00000094836.2	AC123873.3	ENSG00000204480	PRAMEF19
ENSMUSG00000094836	ENSMUSG00000094836.2	AC123873.3	ENSG00000237700	PRAMEF33
ENSMUSG00000094836	ENSMUSG00000094836.2	AC123873.3	ENSG00000116726	PRAMEF12
ENSMUSG00000094836	ENSMUSG00000094836.2	AC123873.3	ENSG00000232423	PRAMEF6
ENSMUSG00000094836	ENSMUSG00000094836.2	AC123873.3	ENSG00000279804	PRAMEF18
ENSMUSG00000094836	ENSMUSG00000094836.2	AC123873.3	ENSG00000182330	PRAMEF8
ENSMUSG00000094836	ENSMUSG00000094836.2	AC123873.3	ENSG00000116721	PRAMEF1
ENSMUSG00000094836	ENSMUSG00000094836.2	AC123873.3	ENSG00000229571	PRAMEF25
ENSMUSG00000094836	ENSMUSG00000094836.2	AC123873.3	ENSG00000120952	PRAMEF2
ENSMUSG00000094836	ENSMUSG00000094836.2	AC123873.3	ENSG00000204510	PRAMEF7
ENSMUSG00000094836	ENSMUSG00000094836.2	AC123873.3	ENSG00000270601	PRAMEF5
ENSMUSG00000094836	ENSMUSG00000094836.2	AC123873.3	ENSG00000243073	PRAMEF4
ENSMUSG00000094836	ENSMUSG00000094836.2	AC123873.3	ENSG00000280267	PRAMEF26
ENSMUSG00000094836	ENSMUSG00000094836.2	AC123873.3	ENSG00000204501	PRAMEF15
ENSMUSG00000094836	ENSMUSG00000094836.2	AC123873.3	ENSG00000204481	PRAMEF14
ENSMUSG00000094836	ENSMUSG00000094836.2	AC123873.3	ENSG00000279169	PRAMEF13
ENSMUSG00000094836	ENSMUSG00000094836.2	AC123873.3	ENSG00000204478	PRAMEF20
ENSMUSG00000094836	ENSMUSG00000094836.2	AC123873.3	ENSG00000187545	PRAMEF10
ENSMUSG00000094836	ENSMUSG00000094836.2	AC123873.3	ENSG00000204505	PRAMEF9
ENSMUSG00000094836	ENSMUSG00000094836.2	AC123873.3	ENSG00000239810	PRAMEF11
ENSMUSG00000094383	ENSMUSG00000094383.2	AC123873.1	ENSG00000274764	PRAMEF27
ENSMUSG00000094383	ENSMUSG00000094383.2	AC123873.1	ENSG00000204479	PRAMEF17
ENSMUSG00000094383	ENSMUSG00000094383.2	AC123873.1	ENSG00000204480	PRAMEF19
ENSMUSG00000094383	ENSMUSG00000094383.2	AC123873.1	ENSG00000237700	PRAMEF33
ENSMUSG00000094383	ENSMUSG00000094383.2	AC123873.1	ENSG00000116726	PRAMEF12
ENSMUSG00000094383	ENSMUSG00000094383.2	AC123873.1	ENSG00000232423	PRAMEF6
ENSMUSG00000094383	ENSMUSG00000094383.2	AC123873.1	ENSG00000279804	PRAMEF18
ENSMUSG00000094383	ENSMUSG00000094383.2	AC123873.1	ENSG00000182330	PRAMEF8
ENSMUSG00000094383	ENSMUSG00000094383.2	AC123873.1	ENSG00000116721	PRAMEF1
ENSMUSG00000094383	ENSMUSG00000094383.2	AC123873.1	ENSG00000229571	PRAMEF25
ENSMUSG00000094383	ENSMUSG00000094383.2	AC123873.1	ENSG00000120952	PRAMEF2
ENSMUSG00000094383	ENSMUSG00000094383.2	AC123873.1	ENSG00000204510	PRAMEF7
ENSMUSG00000094383	ENSMUSG00000094383.2	AC123873.1	ENSG00000270601	PRAMEF5
ENSMUSG00000094383	ENSMUSG00000094383.2	AC123873.1	ENSG00000243073	PRAMEF4
ENSMUSG00000094383	ENSMUSG00000094383.2	AC123873.1	ENSG00000280267	PRAMEF26
ENSMUSG00000094383	ENSMUSG00000094383.2	AC123873.1	ENSG00000204501	PRAMEF15
ENSMUSG00000094383	ENSMUSG00000094383.2	AC123873.1	ENSG00000204481	PRAMEF14
ENSMUSG00000094383	ENSMUSG00000094383.2	AC123873.1	ENSG00000279169	PRAMEF13
ENSMUSG00000094383	ENSMUSG00000094383.2	AC123873.1	ENSG00000204478	PRAMEF20
ENSMUSG00000094383	ENSMUSG00000094383.2	AC123873.1	ENSG00000187545	PRAMEF10
ENSMUSG00000094383	ENSMUSG00000094383.2	AC123873.1	ENSG00000204505	PRAMEF9
ENSMUSG00000094383	ENSMUSG00000094383.2	AC123873.1	ENSG00000239810	PRAMEF11
ENSMUSG00000094474	ENSMUSG00000094474.2	AC123873.2	ENSG00000274764	PRAMEF27
ENSMUSG00000094474	ENSMUSG00000094474.2	AC123873.2	ENSG00000204479	PRAMEF17
ENSMUSG00000094474	ENSMUSG00000094474.2	AC123873.2	ENSG00000204480	PRAMEF19
ENSMUSG00000094474	ENSMUSG00000094474.2	AC123873.2	ENSG00000237700	PRAMEF33
ENSMUSG00000094474	ENSMUSG00000094474.2	AC123873.2	ENSG00000116726	PRAMEF12
ENSMUSG00000094474	ENSMUSG00000094474.2	AC123873.2	ENSG00000232423	PRAMEF6
ENSMUSG00000094474	ENSMUSG00000094474.2	AC123873.2	ENSG00000279804	PRAMEF18
ENSMUSG00000094474	ENSMUSG00000094474.2	AC123873.2	ENSG00000182330	PRAMEF8
ENSMUSG00000094474	ENSMUSG00000094474.2	AC123873.2	ENSG00000116721	PRAMEF1
ENSMUSG00000094474	ENSMUSG00000094474.2	AC123873.2	ENSG00000229571	PRAMEF25
ENSMUSG00000094474	ENSMUSG00000094474.2	AC123873.2	ENSG00000120952	PRAMEF2
ENSMUSG00000094474	ENSMUSG00000094474.2	AC123873.2	ENSG00000204510	PRAMEF7
ENSMUSG00000094474	ENSMUSG00000094474.2	AC123873.2	ENSG00000270601	PRAMEF5
ENSMUSG00000094474	ENSMUSG00000094474.2	AC123873.2	ENSG00000243073	PRAMEF4
ENSMUSG00000094474	ENSMUSG00000094474.2	AC123873.2	ENSG00000280267	PRAMEF26
ENSMUSG00000094474	ENSMUSG00000094474.2	AC123873.2	ENSG00000204501	PRAMEF15
ENSMUSG00000094474	ENSMUSG00000094474.2	AC123873.2	ENSG00000204481	PRAMEF14
ENSMUSG00000094474	ENSMUSG00000094474.2	AC123873.2	ENSG00000279169	PRAMEF13
ENSMUSG00000094474	ENSMUSG00000094474.2	AC123873.2	ENSG00000204478	PRAMEF20
ENSMUSG00000094474	ENSMUSG00000094474.2	AC123873.2	ENSG00000187545	PRAMEF10
ENSMUSG00000094474	ENSMUSG00000094474.2	AC123873.2	ENSG00000204505	PRAMEF9
ENSMUSG00000094474	ENSMUSG00000094474.2	AC123873.2	ENSG00000239810	PRAMEF11
ENSMUSG00000094791	ENSMUSG00000094791.2	AC126035.1	ENSG00000274764	PRAMEF27
ENSMUSG00000094791	ENSMUSG00000094791.2	AC126035.1	ENSG00000204479	PRAMEF17
ENSMUSG00000094791	ENSMUSG00000094791.2	AC126035.1	ENSG00000204480	PRAMEF19
ENSMUSG00000094791	ENSMUSG00000094791.2	AC126035.1	ENSG00000237700	PRAMEF33
ENSMUSG00000094791	ENSMUSG00000094791.2	AC126035.1	ENSG00000116726	PRAMEF12
ENSMUSG00000094791	ENSMUSG00000094791.2	AC126035.1	ENSG00000232423	PRAMEF6
ENSMUSG00000094791	ENSMUSG00000094791.2	AC126035.1	ENSG00000279804	PRAMEF18
ENSMUSG00000094791	ENSMUSG00000094791.2	AC126035.1	ENSG00000182330	PRAMEF8
ENSMUSG00000094791	ENSMUSG00000094791.2	AC126035.1	ENSG00000116721	PRAMEF1
ENSMUSG00000094791	ENSMUSG00000094791.2	AC126035.1	ENSG00000229571	PRAMEF25
ENSMUSG00000094791	ENSMUSG00000094791.2	AC126035.1	ENSG00000120952	PRAMEF2
ENSMUSG00000094791	ENSMUSG00000094791.2	AC126035.1	ENSG00000204510	PRAMEF7
ENSMUSG00000094791	ENSMUSG00000094791.2	AC126035.1	ENSG00000270601	PRAMEF5
ENSMUSG00000094791	ENSMUSG00000094791.2	AC126035.1	ENSG00000243073	PRAMEF4
ENSMUSG00000094791	ENSMUSG00000094791.2	AC126035.1	ENSG00000280267	PRAMEF26
ENSMUSG00000094791	ENSMUSG00000094791.2	AC126035.1	ENSG00000204501	PRAMEF15
ENSMUSG00000094791	ENSMUSG00000094791.2	AC126035.1	ENSG00000204481	PRAMEF14
ENSMUSG00000094791	ENSMUSG00000094791.2	AC126035.1	ENSG00000279169	PRAMEF13
ENSMUSG00000094791	ENSMUSG00000094791.2	AC126035.1	ENSG00000204478	PRAMEF20
ENSMUSG00000094791	ENSMUSG00000094791.2	AC126035.1	ENSG00000187545	PRAMEF10
ENSMUSG00000094791	ENSMUSG00000094791.2	AC126035.1	ENSG00000204505	PRAMEF9
ENSMUSG00000094791	ENSMUSG00000094791.2	AC126035.1	ENSG00000239810	PRAMEF11
ENSMUSG00000096550	ENSMUSG00000096550.2	Gm16367	ENSG00000274764	PRAMEF27
ENSMUSG00000096550	ENSMUSG00000096550.2	Gm16367	ENSG00000204479	PRAMEF17
ENSMUSG00000096550	ENSMUSG00000096550.2	Gm16367	ENSG00000204480	PRAMEF19
ENSMUSG00000096550	ENSMUSG00000096550.2	Gm16367	ENSG00000237700	PRAMEF33
ENSMUSG00000096550	ENSMUSG00000096550.2	Gm16367	ENSG00000116726	PRAMEF12
ENSMUSG00000096550	ENSMUSG00000096550.2	Gm16367	ENSG00000232423	PRAMEF6
ENSMUSG00000096550	ENSMUSG00000096550.2	Gm16367	ENSG00000279804	PRAMEF18
ENSMUSG00000096550	ENSMUSG00000096550.2	Gm16367	ENSG00000182330	PRAMEF8
ENSMUSG00000096550	ENSMUSG00000096550.2	Gm16367	ENSG00000116721	PRAMEF1
ENSMUSG00000096550	ENSMUSG00000096550.2	Gm16367	ENSG00000229571	PRAMEF25
ENSMUSG00000096550	ENSMUSG00000096550.2	Gm16367	ENSG00000120952	PRAMEF2
ENSMUSG00000096550	ENSMUSG00000096550.2	Gm16367	ENSG00000204510	PRAMEF7
ENSMUSG00000096550	ENSMUSG00000096550.2	Gm16367	ENSG00000270601	PRAMEF5
ENSMUSG00000096550	ENSMUSG00000096550.2	Gm16367	ENSG00000243073	PRAMEF4
ENSMUSG00000096550	ENSMUSG00000096550.2	Gm16367	ENSG00000280267	PRAMEF26
ENSMUSG00000096550	ENSMUSG00000096550.2	Gm16367	ENSG00000204501	PRAMEF15
ENSMUSG00000096550	ENSMUSG00000096550.2	Gm16367	ENSG00000204481	PRAMEF14
ENSMUSG00000096550	ENSMUSG00000096550.2	Gm16367	ENSG00000279169	PRAMEF13
ENSMUSG00000096550	ENSMUSG00000096550.2	Gm16367	ENSG00000204478	PRAMEF20
ENSMUSG00000096550	ENSMUSG00000096550.2	Gm16367	ENSG00000187545	PRAMEF10
ENSMUSG00000096550	ENSMUSG00000096550.2	Gm16367	ENSG00000204505	PRAMEF9
ENSMUSG00000096550	ENSMUSG00000096550.2	Gm16367	ENSG00000239810	PRAMEF11
ENSMUSG00000094172	ENSMUSG00000094172.2	AC163611.1	ENSG00000274764	PRAMEF27
ENSMUSG00000094172	ENSMUSG00000094172.2	AC163611.1	ENSG00000204479	PRAMEF17
ENSMUSG00000094172	ENSMUSG00000094172.2	AC163611.1	ENSG00000204480	PRAMEF19
ENSMUSG00000094172	ENSMUSG00000094172.2	AC163611.1	ENSG00000237700	PRAMEF33
ENSMUSG00000094172	ENSMUSG00000094172.2	AC163611.1	ENSG00000116726	PRAMEF12
ENSMUSG00000094172	ENSMUSG00000094172.2	AC163611.1	ENSG00000232423	PRAMEF6
ENSMUSG00000094172	ENSMUSG00000094172.2	AC163611.1	ENSG00000279804	PRAMEF18
ENSMUSG00000094172	ENSMUSG00000094172.2	AC163611.1	ENSG00000182330	PRAMEF8
ENSMUSG00000094172	ENSMUSG00000094172.2	AC163611.1	ENSG00000116721	PRAMEF1
ENSMUSG00000094172	ENSMUSG00000094172.2	AC163611.1	ENSG00000229571	PRAMEF25
ENSMUSG00000094172	ENSMUSG00000094172.2	AC163611.1	ENSG00000120952	PRAMEF2
ENSMUSG00000094172	ENSMUSG00000094172.2	AC163611.1	ENSG00000204510	PRAMEF7
ENSMUSG00000094172	ENSMUSG00000094172.2	AC163611.1	ENSG00000270601	PRAMEF5
ENSMUSG00000094172	ENSMUSG00000094172.2	AC163611.1	ENSG00000243073	PRAMEF4
ENSMUSG00000094172	ENSMUSG00000094172.2	AC163611.1	ENSG00000280267	PRAMEF26
ENSMUSG00000094172	ENSMUSG00000094172.2	AC163611.1	ENSG00000204501	PRAMEF15
ENSMUSG00000094172	ENSMUSG00000094172.2	AC163611.1	ENSG00000204481	PRAMEF14
ENSMUSG00000094172	ENSMUSG00000094172.2	AC163611.1	ENSG00000279169	PRAMEF13
ENSMUSG00000094172	ENSMUSG00000094172.2	AC163611.1	ENSG00000204478	PRAMEF20
ENSMUSG00000094172	ENSMUSG00000094172.2	AC163611.1	ENSG00000187545	PRAMEF10
ENSMUSG00000094172	ENSMUSG00000094172.2	AC163611.1	ENSG00000204505	PRAMEF9
ENSMUSG00000094172	ENSMUSG00000094172.2	AC163611.1	ENSG00000239810	PRAMEF11
ENSMUSG00000094887	ENSMUSG00000094887.2	AC163611.2	ENSG00000274764	PRAMEF27
ENSMUSG00000094887	ENSMUSG00000094887.2	AC163611.2	ENSG00000204479	PRAMEF17
ENSMUSG00000094887	ENSMUSG00000094887.2	AC163611.2	ENSG00000204480	PRAMEF19
ENSMUSG00000094887	ENSMUSG00000094887.2	AC163611.2	ENSG00000237700	PRAMEF33
ENSMUSG00000094887	ENSMUSG00000094887.2	AC163611.2	ENSG00000116726	PRAMEF12
ENSMUSG00000094887	ENSMUSG00000094887.2	AC163611.2	ENSG00000232423	PRAMEF6
ENSMUSG00000094887	ENSMUSG00000094887.2	AC163611.2	ENSG00000279804	PRAMEF18
ENSMUSG00000094887	ENSMUSG00000094887.2	AC163611.2	ENSG00000182330	PRAMEF8
ENSMUSG00000094887	ENSMUSG00000094887.2	AC163611.2	ENSG00000116721	PRAMEF1
ENSMUSG00000094887	ENSMUSG00000094887.2	AC163611.2	ENSG00000229571	PRAMEF25
ENSMUSG00000094887	ENSMUSG00000094887.2	AC163611.2	ENSG00000120952	PRAMEF2
ENSMUSG00000094887	ENSMUSG00000094887.2	AC163611.2	ENSG00000204510	PRAMEF7
ENSMUSG00000094887	ENSMUSG00000094887.2	AC163611.2	ENSG00000270601	PRAMEF5
ENSMUSG00000094887	ENSMUSG00000094887.2	AC163611.2	ENSG00000243073	PRAMEF4
ENSMUSG00000094887	ENSMUSG00000094887.2	AC163611.2	ENSG00000280267	PRAMEF26
ENSMUSG00000094887	ENSMUSG00000094887.2	AC163611.2	ENSG00000204501	PRAMEF15
ENSMUSG00000094887	ENSMUSG00000094887.2	AC163611.2	ENSG00000204481	PRAMEF14
ENSMUSG00000094887	ENSMUSG00000094887.2	AC163611.2	ENSG00000279169	PRAMEF13
ENSMUSG00000094887	ENSMUSG00000094887.2	AC163611.2	ENSG00000204478	PRAMEF20
